timestamp,Momentum,Contrarian,Random
2025-10-17 12:00:00.900,-8866.442400000291,-7745.207199995639,
2025-10-17 12:00:01.000,-8869.563400000334,-7752.327199995751,
2025-10-17 12:00:01.100,-9383.441199999303,-8238.261799994158,
2025-10-17 12:00:01.200,-9384.452799999272,-8239.273199994117,
2025-10-17 12:00:01.300,-8881.926100000273,-7764.687499995576,
2025-10-17 12:00:01.400,-8974.386900000158,-7807.143499995116,
2025-10-17 12:00:01.500,-8980.424400000134,-7813.182199995033,
2025-10-17 12:00:01.600,-8986.461900000111,-7819.220899994951,
2025-10-17 12:00:01.700,-8998.500600000145,-7813.258999994956,
2025-10-17 12:00:01.800,-9001.539300000179,-7816.297099994961,
2025-10-17 12:00:01.900,-284.17929999914486,-315.15089999733027,
2025-10-17 12:00:02.000,-8087.390499999747,-7137.231299992185,
2025-10-17 12:00:02.100,-8088.408099999768,-7138.249099992216,
2025-10-17 12:00:02.200,-9386.964099999284,-8239.784799994202,
2025-10-17 12:00:02.300,-9388.475399999297,-8241.296399994288,-88.80160000012256
2025-10-17 12:00:02.400,-9389.98669999931,-8242.807999994373,-74.49453333342292
2025-10-17 12:00:02.500,-9391.497999999323,-8244.319599994458,-60.18746666672329
2025-10-17 12:00:02.600,-9393.009299999336,-8245.831199994544,-45.880400000023656
2025-10-17 12:00:02.700,-9394.520599999349,-8247.342799994629,-36.77735000001849
2025-10-17 12:00:02.800,-9396.031899999361,-8248.854399994714,-27.674300000013318
2025-10-17 12:00:02.900,-9397.543199999374,-8250.3659999948,-18.57125000000815
2025-10-17 12:00:03.000,-9004.576800000155,-7825.3357999948785,-9.46820000000298
2025-10-17 12:00:03.100,-9010.614300000132,-7831.374499994796,-39.16497500002151
2025-10-17 12:00:03.200,-9016.651800000109,-7837.413199994713,-68.86175000004005
2025-10-17 12:00:03.300,-9022.689300000085,-7843.45189999463,-98.55852500005858
2025-10-17 12:00:03.400,-9010.726800000062,-7861.489999994636,-128.2553000000771
2025-10-17 12:00:03.500,-9034.764300000039,-7849.528699994553,-132.6309000001056
2025-10-17 12:00:03.600,-9040.801800000016,-7855.56739999447,-137.0065000001341
2025-10-17 12:00:03.700,-9046.839299999992,-7861.6060999943875,-141.3821000001626
2025-10-17 12:00:03.800,-9052.876799999969,-7867.644799994305,-76.31790000008186
2025-10-17 12:00:03.900,-9058.914299999946,-7873.683499994222,-11.253700000001118
2025-10-17 12:00:04.000,-9064.951799999923,-7879.722199994139,-19.64625000001979
2025-10-17 12:00:04.100,-9399.054499999387,-8251.877599994885,-28.038800000038464
2025-10-17 12:00:04.200,-9400.5657999994,-8253.38919999497,-36.43135000005714
2025-10-17 12:00:04.300,-9402.077099999413,-8254.900799995055,-44.82390000007581
2025-10-17 12:00:04.400,-9403.588399999426,-8256.41239999514,-35.673375000071246
2025-10-17 12:00:04.500,-9405.099699999439,-8257.923999995226,-26.522850000066683
2025-10-17 12:00:04.600,-9406.610999999451,-8259.435599995311,-17.37232500006212
2025-10-17 12:00:04.700,-9408.122299999464,-8260.947199995397,-8.221800000057556
2025-10-17 12:00:04.800,-9409.633599999477,-8262.458799995482,-12.772600000025705
2025-10-17 12:00:04.900,-9411.14489999949,-8263.970399995567,-17.99866666669647
2025-10-17 12:00:05.000,-9412.656199999503,-8265.481999995653,-23.224733333367233
2025-10-17 12:00:05.100,-8049.605499999714,-7141.446599991759,-28.450800000038
2025-10-17 12:00:05.200,-8255.36220000009,-7309.175499992212,-33.67686666670876
2025-10-17 12:00:05.300,-8937.771700000158,-7770.52909999527,-38.90293333337953
2025-10-17 12:00:05.400,-8942.891500000143,-7775.649899995187,-44.1290000000503
2025-10-17 12:00:05.500,-8948.01130000013,-7780.770699995104,-49.35506666672106
2025-10-17 12:00:05.600,-8664.809499999858,-7664.567599993898,-54.58113333339182
2025-10-17 12:00:05.700,-8666.32119999989,-7666.079599994002,-59.807200000062586
2025-10-17 12:00:05.800,-9095.915799999493,-7994.700599994045,-65.03326666673335
2025-10-17 12:00:05.900,-8675.345599999884,-7663.103399994085,-70.25933333340411
2025-10-17 12:00:06.000,-8676.857799999882,-7664.615299994126,-75.48540000007489
2025-10-17 12:00:06.100,-9430.349799999502,-8283.179099995643,-80.71146666674565
2025-10-17 12:00:06.200,-9448.0433999995,-8300.876199995633,-85.93753333341641
2025-10-17 12:00:06.300,-9321.863599999459,-8196.686399994418,-91.16360000008717
2025-10-17 12:00:06.400,-9331.956599999452,-8206.78139999439,-73.17773333343212
2025-10-17 12:00:06.500,-9342.049599999445,-8216.876399994362,-55.19186666677706
2025-10-17 12:00:06.600,-9111.080099999439,-8009.867899994133,-37.206000000122
2025-10-17 12:00:06.700,-9126.244399999385,-8025.035199994221,-47.31032000011764
2025-10-17 12:00:06.800,-9141.40869999933,-8040.20249999431,-57.41464000011329
2025-10-17 12:00:06.900,-9053.251799999736,-7952.028199994005,-67.51896000010893
2025-10-17 12:00:07.000,-9056.289299999713,-7955.0662999940105,-77.62328000010457
2025-10-17 12:00:07.100,-9059.32679999969,-7958.104399994016,-87.72760000010021
2025-10-17 12:00:07.200,-9198.851399999345,-8073.649799994426,-88.025912500103
2025-10-17 12:00:07.300,-9233.126799999387,-8107.931999994442,-88.3242250001058
2025-10-17 12:00:07.400,-9267.40219999943,-8142.214199994458,-88.62253750010859
2025-10-17 12:00:07.500,-9301.677599999472,-8176.496399994474,-88.92085000011139
2025-10-17 12:00:07.600,-9074.514299999573,-7973.294899994042,-89.21916250011418
