timestamp,Momentum,Contrarian,Random
2025-10-17 12:00:00.900,-8255.999999999998,-8255.999999999998,
2025-10-17 12:00:01.000,-8260.999999999998,-8260.999999999998,
2025-10-17 12:00:01.100,-8754.999999999998,-8754.999999999998,
2025-10-17 12:00:01.200,-8755.999999999998,-8755.999999999998,
2025-10-17 12:00:01.300,-8272.999999999998,-8272.999999999998,
2025-10-17 12:00:01.400,-8338.999999999998,-8338.999999999998,
2025-10-17 12:00:01.500,-8344.999999999998,-8344.999999999998,
2025-10-17 12:00:01.600,-8350.999999999998,-8350.999999999998,
2025-10-17 12:00:01.700,-8353.999999999998,-8353.999999999998,
2025-10-17 12:00:01.800,-8356.999999999998,-8356.999999999998,
2025-10-17 12:00:01.900,-297.0,-297.0,
2025-10-17 12:00:02.000,-7568.999999999998,-7568.999999999998,
2025-10-17 12:00:02.100,-7569.999999999998,-7569.999999999998,
2025-10-17 12:00:02.200,-8757.499999999998,-8757.499999999998,
2025-10-17 12:00:02.300,-8758.999999999998,-8758.999999999998,-84.00000000000037
2025-10-17 12:00:02.400,-8760.499999999998,-8760.499999999998,-70.00000000000041
2025-10-17 12:00:02.500,-8761.999999999998,-8761.999999999998,-56.000000000000455
2025-10-17 12:00:02.600,-8763.499999999998,-8763.499999999998,-42.000000000000504
2025-10-17 12:00:02.700,-8764.999999999998,-8764.999999999998,-33.75000000000038
2025-10-17 12:00:02.800,-8766.499999999998,-8766.499999999998,-25.500000000000245
2025-10-17 12:00:02.900,-8767.999999999998,-8767.999999999998,-17.250000000000114
2025-10-17 12:00:03.000,-8362.999999999998,-8362.999999999998,-8.999999999999986
2025-10-17 12:00:03.100,-8368.999999999998,-8368.999999999998,-37.37500000000013
2025-10-17 12:00:03.200,-8374.999999999998,-8374.999999999998,-65.75000000000028
2025-10-17 12:00:03.300,-8380.999999999998,-8380.999999999998,-94.12500000000043
2025-10-17 12:00:03.400,-8383.999999999998,-8383.999999999998,-122.50000000000057
2025-10-17 12:00:03.500,-8389.999999999998,-8389.999999999998,-126.84666666666725
2025-10-17 12:00:03.600,-8395.999999999998,-8395.999999999998,-131.19333333333392
2025-10-17 12:00:03.700,-8401.999999999998,-8401.999999999998,-135.5400000000006
2025-10-17 12:00:03.800,-8407.999999999998,-8407.999999999998,-73.02000000000022
2025-10-17 12:00:03.900,-8413.999999999998,-8413.999999999998,-10.499999999999865
2025-10-17 12:00:04.000,-8419.999999999998,-8419.999999999998,-18.12500000000002
2025-10-17 12:00:04.100,-8769.499999999998,-8769.499999999998,-25.750000000000174
2025-10-17 12:00:04.200,-8770.999999999998,-8770.999999999998,-33.37500000000033
2025-10-17 12:00:04.300,-8772.499999999998,-8772.499999999998,-41.00000000000048
2025-10-17 12:00:04.400,-8773.999999999998,-8773.999999999998,-32.75000000000036
2025-10-17 12:00:04.500,-8775.499999999998,-8775.499999999998,-24.500000000000245
2025-10-17 12:00:04.600,-8776.999999999998,-8776.999999999998,-16.250000000000124
2025-10-17 12:00:04.700,-8778.499999999998,-8778.499999999998,-8.000000000000007
2025-10-17 12:00:04.800,-8779.999999999998,-8779.999999999998,-11.999999999999854
2025-10-17 12:00:04.900,-8781.499999999998,-8781.499999999998,-16.933333333333223
2025-10-17 12:00:05.000,-8782.999999999998,-8782.999999999998,-21.86666666666659
2025-10-17 12:00:05.100,-7552.499999999998,-7552.499999999998,-26.799999999999955
2025-10-17 12:00:05.200,-7736.499999999998,-7736.499999999998,-31.733333333333324
2025-10-17 12:00:05.300,-8302.999999999998,-8302.999999999998,-36.66666666666669
2025-10-17 12:00:05.400,-8307.999999999998,-8307.999999999998,-41.60000000000006
2025-10-17 12:00:05.500,-8312.999999999998,-8312.999999999998,-46.53333333333343
2025-10-17 12:00:05.600,-8115.499999999998,-8115.499999999998,-51.4666666666668
2025-10-17 12:00:05.700,-8116.999999999998,-8116.999999999998,-56.40000000000016
2025-10-17 12:00:05.800,-8491.999999999998,-8491.999999999998,-61.33333333333353
2025-10-17 12:00:05.900,-8119.999999999998,-8119.999999999998,-66.2666666666669
2025-10-17 12:00:06.000,-8121.499999999998,-8121.499999999998,-71.20000000000026
2025-10-17 12:00:06.100,-8800.499999999998,-8800.499999999998,-76.13333333333364
2025-10-17 12:00:06.200,-8817.999999999998,-8817.999999999998,-81.066666666667
2025-10-17 12:00:06.300,-8703.999999999998,-8703.999999999998,-86.00000000000037
2025-10-17 12:00:06.400,-8713.999999999998,-8713.999999999998,-68.83333333333383
2025-10-17 12:00:06.500,-8723.999999999998,-8723.999999999998,-51.66666666666727
2025-10-17 12:00:06.600,-8506.999999999998,-8506.999999999998,-34.50000000000071
2025-10-17 12:00:06.700,-8521.999999999998,-8521.999999999998,-44.200000000000635
2025-10-17 12:00:06.800,-8536.999999999998,-8536.999999999998,-53.90000000000056
2025-10-17 12:00:06.900,-8449.999999999998,-8449.999999999998,-63.60000000000049
2025-10-17 12:00:07.000,-8452.999999999998,-8452.999999999998,-73.30000000000041
2025-10-17 12:00:07.100,-8455.999999999998,-8455.999999999998,-83.00000000000034
2025-10-17 12:00:07.200,-8581.999999999998,-8581.999999999998,-83.25000000000034
2025-10-17 12:00:07.300,-8615.999999999998,-8615.999999999998,-83.50000000000034
2025-10-17 12:00:07.400,-8649.999999999998,-8649.999999999998,-83.75000000000034
2025-10-17 12:00:07.500,-8683.999999999998,-8683.999999999998,-84.00000000000034
2025-10-17 12:00:07.600,-8470.999999999998,-8470.999999999998,-84.25000000000034
2025-10-17 12:00:07.700,-8473.999999999998,-8473.999999999998,-84.50000000000034
